Created,Occurrence,PoStcode,Sr_Num,Enq_Type
02-Jan-13,Noise Nuisance,LS12 1,2-565469790,LASBT ALMO
02-Jan-13,Noise Nuisance,LS19 7,2-565511337,LASBT ALMO
02-Jan-13,Noise Nuisance,LS4 2,2-565507064,LASBT Private
02-Jan-13,Noise Nuisance,LS17 6,2-565550056,Tenancy Breach
02-Jan-13,Noise Nuisance,WF10 2,2-565570475,LASBT Private
02-Jan-13,Noise Nuisance,LS14 6,2-565614329,LASBT ALMO
02-Jan-13,Noise Nuisance,LS9 7,2-565531568,LASBT ALMO
02-Jan-13,Noise Nuisance,LS6 2,2-565631368,LASBT Private
02-Jan-13,Noise Nuisance,LS8 4,2-565630792,LASBT ALMO
02-Jan-13,Noise Nuisance,LS14 6,2-565670243,LASBT ALMO
02-Jan-13,Noise Nuisance,LS13 1,2-565672661,LASBT ALMO
02-Jan-13,Noise Nuisance,LS14 1,2-565699292,LASBT ALMO
02-Jan-13,Noise Nuisance,LS27 8,2-565646982,Tenancy Breach
02-Jan-13,Noise Nuisance,LS7 2,2-565570587,LASBT Private
02-Jan-13,Noise Nuisance,LS14 6,2-565679975,LASBT Private
03-Jan-13,Noise Nuisance,LS12 2,2-565793649,LASBT ALMO
03-Jan-13,Noise Nuisance,LS11 0,2-565843756,Tenancy Breach
03-Jan-13,Noise Nuisance,LS16 7,2-565867653,LASBT Private
03-Jan-13,Noise Nuisance,LS9 6,2-565840369,LASBT ALMO
03-Jan-13,Noise Nuisance,LS6 1,2-565878485,Tenancy Breach
03-Jan-13,Noise Nuisance,LS23 6,2-565942594,Tenancy Breach
03-Jan-13,Noise Nuisance,LS13 1,2-565971112,Tenancy Breach
03-Jan-13,Noise Nuisance,LS14 5,2-565964081,Tenancy Breach
03-Jan-13,Noise Nuisance,LS6 3,2-566000734,LASBT Private
03-Jan-13,Noise Nuisance,LS5 3,2-565990078,LASBT ALMO
03-Jan-13,Noise Nuisance,LS25 7,2-566044122,LASBT ALMO
03-Jan-13,Noise Nuisance,LS11 0,2-566023058,LASBT Private
03-Jan-13,Noise Nuisance,LS15 8,2-565986820,LASBT Private
03-Jan-13,Noise Nuisance,LS9 6,2-566051502,LASBT ALMO
03-Jan-13,Noise Nuisance,LS13 4,2-566047888,Tenancy Breach
03-Jan-13,Noise Nuisance,LS7 2,2-566060556,LASBT ALMO
03-Jan-13,Noise Nuisance,LS1 4,2-566068530,LASBT Private
03-Jan-13,Noise Nuisance,LS11 5,2-566065640,LASBT Private
03-Jan-13,Noise Nuisance,LS27 8,2-566083663,LASBT Private
03-Jan-13,Noise Nuisance,LS14 5,2-566071906,LASBT ALMO
03-Jan-13,Noise Nuisance,LS6 2,2-566123400,LASBT ALMO
03-Jan-13,Noise Nuisance,LS7 3,2-566125625,LASBT ALMO
03-Jan-13,Noise Nuisance,LS11 6,2-566139006,LASBT Private
04-Jan-13,Noise Nuisance,LS8 1,2-566189889,LASBT ALMO
04-Jan-13,Noise Nuisance,LS9 7,2-566315378,LASBT ALMO
04-Jan-13,Noise Nuisance,LS11 7,2-566323302,LASBT Private
04-Jan-13,Noise Nuisance,LS27 9,2-566373915,LASBT ALMO
04-Jan-13,Noise Nuisance,LS8 3,2-566415281,LASBT ALMO
04-Jan-13,Noise Nuisance,LS16 6,2-566420277,Tenancy Breach
04-Jan-13,Noise Nuisance,LS11 9,2-566426043,Tenancy Breach
04-Jan-13,Noise Nuisance,LS6 3,2-566470496,Tenancy Breach
04-Jan-13,Noise Nuisance,LS26 0,2-566468171,Tenancy Breach
04-Jan-13,Noise Nuisance,LS26 0,2-566489208,LASBT Private
07-Jan-13,Noise Nuisance,LS21 2,2-566508376,LASBT Private
07-Jan-13,Noise Nuisance,LS27 9,2-566556229,LASBT Private
07-Jan-13,Noise Nuisance,LS10 2,2-566587417,LASBT Private
07-Jan-13,Noise Nuisance,LS11 8,2-566572323,LASBT ALMO
07-Jan-13,Noise Nuisance,LS8 1,2-566614243,LASBT ALMO
07-Jan-13,Noise Nuisance,LS18 5,2-566607197,Tenancy Breach
07-Jan-13,Noise Nuisance,LS14 6,2-566707637,LASBT Private
07-Jan-13,Noise Nuisance,LS29 6,2-566697906,LASBT Private
07-Jan-13,Noise Nuisance,LS26 0,2-566740547,LASBT Private
07-Jan-13,Noise Nuisance,LS17 6,2-566704186,LASBT Private
07-Jan-13,Noise Nuisance,LS4 2,2-566823222,LASBT Private
07-Jan-13,Noise Nuisance,LS27 0,2-566800959,LASBT ALMO
07-Jan-13,Noise Nuisance,LS27 9,2-566844498,LASBT ALMO
07-Jan-13,Noise Nuisance,LS4 2,2-566875603,Tenancy Breach
07-Jan-13,Noise Nuisance,LS7 4,2-566930157,Tenancy Breach
07-Jan-13,Noise Nuisance,LS13 2,2-566980309,LASBT ALMO
08-Jan-13,Noise Nuisance,LS11 5,2-566990479,LASBT ALMO
08-Jan-13,Noise Nuisance,LS11 5,2-567052684,Tenancy Breach
08-Jan-13,Noise Nuisance,LS8 2,2-567083348,LASBT Private
08-Jan-13,Noise Nuisance,LS6 1,2-567114146,LASBT Private
08-Jan-13,Noise Nuisance,LS12 1,2-567137337,LASBT ALMO
08-Jan-13,Noise Nuisance,LS16 8,2-567128699,LASBT Private
08-Jan-13,Noise Nuisance,LS16 7,2-567175764,LASBT ALMO
08-Jan-13,Noise Nuisance,LS13 2,2-567187473,Tenancy Breach
08-Jan-13,Noise Nuisance,LS12 2,2-567222899,Tenancy Breach
08-Jan-13,Noise Nuisance,LS17 6,2-567241762,Tenancy Breach
08-Jan-13,Noise Nuisance,LS11 5,2-567236056,LASBT Private
08-Jan-13,Noise Nuisance,LS27 7,2-567244409,Tenancy Breach
08-Jan-13,Noise Nuisance,LS23 6,2-567273604,LASBT ALMO
08-Jan-13,Noise Nuisance,LS12 3,2-567266252,LASBT Private
08-Jan-13,Noise Nuisance,LS17 8,2-567264541,LASBT Private
08-Jan-13,Noise Nuisance,LS27 9,2-567296743,LASBT Private
08-Jan-13,Noise Nuisance,LS18 5,2-567375855,Tenancy Breach
08-Jan-13,Noise Nuisance,LS28 7,2-567370239,LASBT ALMO
08-Jan-13,Noise Nuisance,LS16 6,2-567449616,Tenancy Breach
08-Jan-13,Noise Nuisance,LS16 6,2-567449645,Tenancy Breach
09-Jan-13,Noise Nuisance,LS11 6,2-567471721,LASBT Private
09-Jan-13,Noise Nuisance,LS6 2,2-567439550,LASBT ALMO
09-Jan-13,Noise Nuisance,LS16 7,2-567472206,LASBT Private
09-Jan-13,Noise Nuisance,LS10 3,2-567561206,LASBT Private
09-Jan-13,Noise Nuisance,LS7 4,2-567642372,Tenancy Breach
09-Jan-13,Noise Nuisance,LS11 0,2-567670668,LASBT Private
09-Jan-13,Noise Nuisance,LS7 3,2-567661597,LASBT Private
09-Jan-13,Noise Nuisance,LS8 3,2-567673040,LASBT Private
09-Jan-13,Noise Nuisance,LS26 8,2-567693431,LASBT ALMO
09-Jan-13,Noise Nuisance,LS28 8,2-567694572,Tenancy Breach
09-Jan-13,Noise Nuisance,LS26 8,2-567733604,LASBT Private
09-Jan-13,Noise Nuisance,LS9 0,2-567740682,LASBT ALMO
09-Jan-13,Noise Nuisance,LS7 2,2-567733043,LASBT ALMO
09-Jan-13,Noise Nuisance,LS14 6,2-567780001,Tenancy Breach
09-Jan-13,Noise Nuisance,LS14 1,2-567816635,Tenancy Breach
10-Jan-13,Noise Nuisance,LS27 9,2-567898268,LASBT Private
10-Jan-13,Noise Nuisance,LS6 3,2-567908470,LASBT ALMO
10-Jan-13,Noise Nuisance,LS7 2,2-567940821,Tenancy Breach
10-Jan-13,Noise Nuisance,LS14 2,2-567927215,LASBT Private
10-Jan-13,Noise Nuisance,LS6 1,2-567921589,LASBT Private
10-Jan-13,Noise Nuisance,LS14 6,2-567953421,LASBT ALMO
10-Jan-13,Noise Nuisance,LS9 7,2-567986563,LASBT ALMO
10-Jan-13,Noise Nuisance,LS10 3,2-568027760,LASBT ALMO
10-Jan-13,Noise Nuisance,LS7 2,2-568027993,LASBT Private
10-Jan-13,Noise Nuisance,LS5 3,2-568028130,LASBT Private
10-Jan-13,Noise Nuisance,LS27 0,2-568028239,LASBT ALMO
10-Jan-13,Noise Nuisance,LS17 6,2-568071912,LASBT Private
10-Jan-13,Noise Nuisance,LS11 7,2-568077188,LASBT Private
10-Jan-13,Noise Nuisance,LS6 2,2-568088922,LASBT Private
10-Jan-13,Noise Nuisance,LS14 2,2-568126826,LASBT Private
10-Jan-13,Noise Nuisance,LS6 2,2-568150486,LASBT Private
10-Jan-13,Noise Nuisance,LS7 1,2-568156620,Tenancy Breach
10-Jan-13,Noise Nuisance,LS6 2,2-568161648,LASBT Private
10-Jan-13,Noise Nuisance,LS7 2,2-568158669,LASBT Private
10-Jan-13,Noise Nuisance,LS11 7,2-568197094,LASBT Private
10-Jan-13,Noise Nuisance,LS6 2,2-568197825,LASBT Private
11-Jan-13,Noise Nuisance,LS8 5,2-568190591,LASBT ALMO
11-Jan-13,Noise Nuisance,LS16 5,2-568244556,Tenancy Breach
11-Jan-13,Noise Nuisance,LS16 5,2-568350218,LASBT Private
11-Jan-13,Noise Nuisance,LS13 4,2-568365892,LASBT ALMO
11-Jan-13,Noise Nuisance,LS7 1,2-568436767,Tenancy Breach
11-Jan-13,Noise Nuisance,LS13 2,2-568428576,LASBT Private
11-Jan-13,Noise Nuisance,LS9 7,2-568428480,LASBT ALMO
11-Jan-13,Noise Nuisance,LS25 1,2-568468445,LASBT Private
11-Jan-13,Noise Nuisance,LS9 0,2-568539605,LASBT ALMO
11-Jan-13,Noise Nuisance,LS16 6,2-568568691,LASBT Private
11-Jan-13,Noise Nuisance,LS9 7,2-568556926,LASBT ALMO
11-Jan-13,Noise Nuisance,LS6 1,2-568567852,LASBT Private
11-Jan-13,Noise Nuisance,LS9 7,2-568561879,LASBT ALMO
14-Jan-13,Noise Nuisance,LS12 5,2-568692583,LASBT ALMO
14-Jan-13,Noise Nuisance,LS26 8,2-568718224,LASBT Private
14-Jan-13,Noise Nuisance,LS27 8,2-568819013,LASBT ALMO
14-Jan-13,Noise Nuisance,LS17 6,2-568837302,LASBT ALMO
14-Jan-13,Noise Nuisance,LS9 9,2-568864935,LASBT Private
14-Jan-13,Noise Nuisance,LS16 6,2-568892728,LASBT Private
14-Jan-13,Noise Nuisance,LS13 4,2-568901412,LASBT Private
14-Jan-13,Noise Nuisance,LS14 1,2-568910132,LASBT ALMO
14-Jan-13,Noise Nuisance,LS14 2,2-568927169,LASBT Private
14-Jan-13,Noise Nuisance,LS6 1,2-568922386,Tenancy Breach
14-Jan-13,Noise Nuisance,LS9 0,2-568919319,LASBT Private
14-Jan-13,Noise Nuisance,LS9 0,2-568960922,Tenancy Breach
14-Jan-13,Noise Nuisance,LS9 6,2-568940159,LASBT ALMO
14-Jan-13,Noise Nuisance,LS13 2,2-569038143,Tenancy Breach
15-Jan-13,Noise Nuisance,LS13 4,2-569075521,LASBT ALMO
15-Jan-13,Noise Nuisance,LS12 5,2-569096754,LASBT Private
15-Jan-13,Noise Nuisance,LS10 2,2-569094040,LASBT ALMO
15-Jan-13,Noise Nuisance,LS17 8,2-569115970,LASBT Private
15-Jan-13,Noise Nuisance,LS9 7,2-569198267,LASBT ALMO
15-Jan-13,Noise Nuisance,LS9 7,2-569242615,Tenancy Breach
15-Jan-13,Noise Nuisance,LS10 3,2-569250773,LASBT ALMO
15-Jan-13,Noise Nuisance,LS9 6,2-569275816,LASBT Private
15-Jan-13,Noise Nuisance,LS27 8,2-569256788,Tenancy Breach
15-Jan-13,Noise Nuisance,LS9 7,2-569071268,LASBT ALMO
15-Jan-13,Noise Nuisance,LS18 5,2-569334665,LASBT ALMO
15-Jan-13,Noise Nuisance,LS8 1,2-569071589,LASBT Private
15-Jan-13,Noise Nuisance,LS26 8,2-569382100,LASBT Private
15-Jan-13,Noise Nuisance,LS16 6,2-569380435,LASBT ALMO
15-Jan-13,Noise Nuisance,LS17 6,2-569364148,LASBT ALMO
15-Jan-13,Noise Nuisance,LS9 7,2-569420471,Tenancy Breach
16-Jan-13,Noise Nuisance,LS9 7,2-569436559,LASBT ALMO
16-Jan-13,Noise Nuisance,LS27 0,2-569469909,Tenancy Breach
16-Jan-13,Noise Nuisance,LS27 9,2-569474287,Tenancy Breach
16-Jan-13,Noise Nuisance,LS27 7,2-569495313,LASBT Private
16-Jan-13,Noise Nuisance,LS15 0,2-569534965,Tenancy Breach
16-Jan-13,Noise Nuisance,LS16 6,2-569556286,Tenancy Breach
16-Jan-13,Noise Nuisance,LS7 3,2-569573519,Tenancy Breach
16-Jan-13,Noise Nuisance,LS11 9,2-569609303,LASBT ALMO
16-Jan-13,Noise Nuisance,LS11 0,2-569646921,LASBT Private
16-Jan-13,Noise Nuisance,LS14 1,2-569440128,Tenancy Breach
16-Jan-13,Noise Nuisance,LS14 1,2-569652762,Tenancy Breach
16-Jan-13,Noise Nuisance,LS1 4,2-569678660,LASBT Private
16-Jan-13,Noise Nuisance,LS9 0,2-569684297,LASBT Private
16-Jan-13,Noise Nuisance,LS10 3,2-569760019,LASBT Private
16-Jan-13,Noise Nuisance,LS15 4,2-569754470,LASBT Private
17-Jan-13,Noise Nuisance,LS27 9,2-569814916,LASBT Private
17-Jan-13,Noise Nuisance,LS27 9,2-569815057,LASBT Private
17-Jan-13,Noise Nuisance,LS13 4,2-569818110,Tenancy Breach
17-Jan-13,Noise Nuisance,LS27 8,2-569815345,LASBT Private
17-Jan-13,Noise Nuisance,LS13 4,2-569825272,Tenancy Breach
17-Jan-13,Noise Nuisance,LS10 3,2-569815895,LASBT Private
17-Jan-13,Noise Nuisance,LS27 8,2-569825759,LASBT Private
17-Jan-13,Noise Nuisance,LS16 7,2-569842499,Tenancy Breach
17-Jan-13,Noise Nuisance,LS10 3,2-569834568,LASBT Private
17-Jan-13,Noise Nuisance,LS11 8,2-569863146,LASBT Private
17-Jan-13,Noise Nuisance,LS27 8,2-569844829,LASBT ALMO
17-Jan-13,Noise Nuisance,LS12 5,2-569870212,LASBT ALMO
17-Jan-13,Noise Nuisance,LS13 2,2-569898679,Tenancy Breach
17-Jan-13,Noise Nuisance,LS16 7,2-569910804,LASBT Private
17-Jan-13,Noise Nuisance,LS14 6,2-569996048,LASBT ALMO
17-Jan-13,Noise Nuisance,LS1 5,2-570018183,LASBT Private
17-Jan-13,Noise Nuisance,LS9 6,2-570066084,LASBT Private
17-Jan-13,Noise Nuisance,LS19 7,2-570081152,LASBT Private
17-Jan-13,Noise Nuisance,LS17 5,2-570118421,Tenancy Breach
18-Jan-13,Noise Nuisance,LS27 9,2-570143666,LASBT Private
18-Jan-13,Noise Nuisance,LS13 1,2-570179040,LASBT Private
18-Jan-13,Noise Nuisance,LS18 5,2-570187620,Tenancy Breach
18-Jan-13,Noise Nuisance,LS10 3,2-570235292,LASBT ALMO
18-Jan-13,Noise Nuisance,LS1 1,2-570259902,LASBT Private
18-Jan-13,Noise Nuisance,LS17 8,2-570286184,LASBT Private
18-Jan-13,Noise Nuisance,LS9 6,2-570305009,LASBT Private
18-Jan-13,Noise Nuisance,LS14 5,2-570293700,LASBT Private
18-Jan-13,Noise Nuisance,LS12 5,2-570317139,LASBT ALMO
18-Jan-13,Noise Nuisance,LS1 4,2-570334319,LASBT ALMO
18-Jan-13,Noise Nuisance,LS1 1,2-570340196,LASBT Private
18-Jan-13,Noise Nuisance,NFA,2-570349370,LASBT ALMO
18-Jan-13,Noise Nuisance,LS4 2,2-570365138,LASBT ALMO
18-Jan-13,Noise Nuisance,LS10 3,2-570386017,LASBT Private
18-Jan-13,Noise Nuisance,LS11 8,2-570451818,Tenancy Breach
21-Jan-13,Noise Nuisance,LS20 9,2-570521079,Tenancy Breach
21-Jan-13,Noise Nuisance,LS15 7,2-570521765,LASBT Private
21-Jan-13,Noise Nuisance,LS11 8,2-570481999,LASBT ALMO
21-Jan-13,Noise Nuisance,LS27 8,2-570525937,LASBT Private
21-Jan-13,Noise Nuisance,LS16 7,2-570551054,Tenancy Breach
21-Jan-13,Noise Nuisance,LS9 7,2-570514858,LASBT ALMO
21-Jan-13,Noise Nuisance,LS15 0,2-570543778,LASBT ALMO
21-Jan-13,Noise Nuisance,LS27 8,2-570601981,LASBT Private
21-Jan-13,Noise Nuisance,LS26 0,2-570630627,LASBT Private
21-Jan-13,Noise Nuisance,LS10 3,2-570671061,LASBT ALMO
21-Jan-13,Noise Nuisance,LS8 1,2-570632419,LASBT Private
21-Jan-13,Noise Nuisance,LS7 1,2-570688756,LASBT ALMO
21-Jan-13,Noise Nuisance,LS10 1,2-570689077,LASBT Private
21-Jan-13,Noise Nuisance,LS9 6,2-570696719,LASBT ALMO
21-Jan-13,Noise Nuisance,LS22 6,2-570715335,LASBT Private
21-Jan-13,Noise Nuisance,LS11 7,2-570715851,LASBT Private
21-Jan-13,Noise Nuisance,WF3 1,2-570800725,LASBT ALMO
21-Jan-13,Noise Nuisance,LS9 7,2-570796046,LASBT ALMO
21-Jan-13,Noise Nuisance,LS28 7,2-570796149,LASBT ALMO
22-Jan-13,Noise Nuisance,LS11 6,2-570811399,LASBT ALMO
22-Jan-13,Noise Nuisance,LS16 6,2-570794868,Tenancy Breach
22-Jan-13,Noise Nuisance,LS14 6,2-570822409,LASBT ALMO
22-Jan-13,Noise Nuisance,LS17 6,2-570822153,Tenancy Breach
22-Jan-13,Noise Nuisance,LS6 3,2-570843903,LASBT Private
22-Jan-13,Noise Nuisance,LS8 4,2-570873271,LASBT Private
22-Jan-13,Noise Nuisance,LS12 5,2-570889591,LASBT Private
22-Jan-13,Noise Nuisance,LS9 7,2-570904076,LASBT Private
22-Jan-13,Noise Nuisance,LS12 3,2-570900649,LASBT Private
22-Jan-13,Noise Nuisance,LS18 5,2-570950573,LASBT ALMO
22-Jan-13,Noise Nuisance,LS11 6,2-570950684,LASBT ALMO
22-Jan-13,Noise Nuisance,LS6 1,2-570916939,Tenancy Breach
22-Jan-13,Noise Nuisance,LS10 3,2-570926050,LASBT ALMO
22-Jan-13,Noise Nuisance,LS17 8,2-570983531,LASBT Private
22-Jan-13,Noise Nuisance,LS11 7,2-570986679,LASBT Private
22-Jan-13,Noise Nuisance,LS11 8,2-571020989,Tenancy Breach
22-Jan-13,Noise Nuisance,LS6 2,2-571070032,LASBT Private
22-Jan-13,Noise Nuisance,LS12 5,2-571171457,Tenancy Breach
23-Jan-13,Noise Nuisance,LS7 3,2-571200723,LASBT Private
23-Jan-13,Noise Nuisance,LS11 0,2-571200870,LASBT ALMO
23-Jan-13,Noise Nuisance,LS2 7,2-571244038,LASBT Private
23-Jan-13,Noise Nuisance,LS20 9,2-571249183,Tenancy Breach
23-Jan-13,Noise Nuisance,LS4 2,2-571297404,LASBT Private
23-Jan-13,Noise Nuisance,LS8 2,2-571303806,LASBT Private
23-Jan-13,Noise Nuisance,LS14 2,2-571364739,Tenancy Breach
23-Jan-13,Noise Nuisance,LS7 3,2-571362022,LASBT Private
23-Jan-13,Noise Nuisance,LS3 1,2-571145958,LASBT Private
23-Jan-13,Noise Nuisance,LS15 9,2-571372260,LASBT Private
23-Jan-13,Noise Nuisance,LS15 8,2-571412486,Tenancy Breach
23-Jan-13,Noise Nuisance,LS9 9,2-571400100,Tenancy Breach
23-Jan-13,Noise Nuisance,LS19 7,2-571399002,LASBT ALMO
23-Jan-13,Noise Nuisance,LS17 6,2-571371109,LASBT Private
23-Jan-13,Noise Nuisance,LS8 1,2-571461580,LASBT ALMO
23-Jan-13,Noise Nuisance,LS8 1,2-571440830,LASBT ALMO
23-Jan-13,Noise Nuisance,LS25 7,2-571484435,LASBT Private
23-Jan-13,Noise Nuisance,LS27 0,2-571539407,LASBT Private
23-Jan-13,Noise Nuisance,LS10 4,2-571556546,LASBT Private
24-Jan-13,Noise Nuisance,LS16 7,2-571570518,LASBT ALMO
24-Jan-13,Noise Nuisance,LS10 2,2-571598830,LASBT Private
24-Jan-13,Noise Nuisance,NFA,2-571616039,Tenancy Breach
24-Jan-13,Noise Nuisance,LS19 7,2-571632485,LASBT Private
24-Jan-13,Noise Nuisance,LS12 2,2-571625971,LASBT ALMO
24-Jan-13,Noise Nuisance,LS16 7,2-571582649,LASBT ALMO
24-Jan-13,Noise Nuisance,LS11 6,2-571725766,LASBT ALMO
24-Jan-13,Noise Nuisance,LS4 2,2-571765118,LASBT Private
24-Jan-13,Noise Nuisance,LS14 1,2-571768258,Tenancy Breach
24-Jan-13,Noise Nuisance,LS9 8,2-571815554,LASBT Private
24-Jan-13,Noise Nuisance,LS12 4,2-571777870,Tenancy Breach
24-Jan-13,Noise Nuisance,LS16 7,2-571823666,LASBT ALMO
24-Jan-13,Noise Nuisance,LS13 3,2-571842931,LASBT ALMO
24-Jan-13,Noise Nuisance,LS13 2,2-571880680,Tenancy Breach
24-Jan-13,Noise Nuisance,LS14 6,2-571840250,LASBT ALMO
24-Jan-13,Noise Nuisance,LS6 1,2-571886700,LASBT Private
24-Jan-13,Noise Nuisance,LS28 6,2-571877070,LASBT ALMO
25-Jan-13,Noise Nuisance,LS13 1,2-571965860,Tenancy Breach
25-Jan-13,Noise Nuisance,LS18 5,2-571949913,LASBT Private
25-Jan-13,Noise Nuisance,LS16 6,2-571950150,LASBT ALMO
25-Jan-13,Noise Nuisance,LS6 1,2-571972748,LASBT Private
25-Jan-13,Noise Nuisance,LS12 2,2-572001235,Tenancy Breach
25-Jan-13,Noise Nuisance,LS9 0,2-572005966,LASBT Private
25-Jan-13,Noise Nuisance,LS28 5,2-571975470,LASBT Private
25-Jan-13,Noise Nuisance,LS13 4,2-572020765,LASBT Private
25-Jan-13,Noise Nuisance,LS9 6,2-572029093,LASBT Private
25-Jan-13,Noise Nuisance,LS7 3,2-571998060,LASBT ALMO
25-Jan-13,Noise Nuisance,LS15 0,2-572046748,LASBT ALMO
25-Jan-13,Noise Nuisance,LS9 7,2-572070736,LASBT ALMO
25-Jan-13,Noise Nuisance,LS16 5,2-572065447,Tenancy Breach
25-Jan-13,Noise Nuisance,LS6 1,2-572071234,LASBT Private
25-Jan-13,Noise Nuisance,LS12 4,2-572141927,LASBT ALMO
25-Jan-13,Noise Nuisance,LS28 8,2-572176577,Tenancy Breach
25-Jan-13,Noise Nuisance,LS18 4,2-572150943,LASBT Private
25-Jan-13,Noise Nuisance,LS15 0,2-572224502,Tenancy Breach
25-Jan-13,Noise Nuisance,LS7 2,2-572235635,LASBT ALMO
25-Jan-13,Noise Nuisance,LS9 6,2-572223180,LASBT Private
25-Jan-13,Noise Nuisance,LS4 2,2-572236236,LASBT Private
25-Jan-13,Noise Nuisance,LS6 1,2-572273026,Tenancy Breach
26-Jan-13,Noise Nuisance,LS9 0,2-572288609,LASBT ALMO
28-Jan-13,Noise Nuisance,LS15 7,2-572274229,LASBT Private
28-Jan-13,Noise Nuisance,LS6 1,2-572336562,LASBT Private
28-Jan-13,Noise Nuisance,LS27 7,2-572320082,LASBT ALMO
28-Jan-13,Noise Nuisance,LS17 7,2-572330816,LASBT ALMO
28-Jan-13,Noise Nuisance,LS10 4,2-572245459,LASBT ALMO
28-Jan-13,Noise Nuisance,LS9 6,2-572360142,LASBT Private
28-Jan-13,Noise Nuisance,WF3 2,2-572410064,LASBT Private
28-Jan-13,Noise Nuisance,LS7 2,2-572393011,LASBT Private
28-Jan-13,Noise Nuisance,LS9 6,2-572323649,LASBT Private
28-Jan-13,Noise Nuisance,LS9 9,2-572421919,LASBT ALMO
28-Jan-13,Noise Nuisance,LS28 8,2-572437299,LASBT Private
28-Jan-13,Noise Nuisance,LS17 6,2-572473814,LASBT Private
28-Jan-13,Noise Nuisance,LS6 1,2-572498779,LASBT Private
28-Jan-13,Noise Nuisance,LS27 7,2-572498118,LASBT Private
28-Jan-13,Noise Nuisance,BD11 1,2-572482898,Tenancy Breach
28-Jan-13,Noise Nuisance,LS5 3,2-572481899,LASBT ALMO
28-Jan-13,Noise Nuisance,LS7 1,2-572519831,LASBT ALMO
28-Jan-13,Noise Nuisance,LS13 4,2-572531424,Tenancy Breach
28-Jan-13,Noise Nuisance,LS13 4,2-572577123,LASBT ALMO
28-Jan-13,Noise Nuisance,LS14 1,2-572602850,Tenancy Breach
28-Jan-13,Noise Nuisance,LS21 1,2-572544170,LASBT Private
28-Jan-13,Noise Nuisance,LS12 1,2-572634617,LASBT ALMO
28-Jan-13,Noise Nuisance,LS6 1,2-572628180,LASBT Private
28-Jan-13,Noise Nuisance,LS14 6,2-572661790,Tenancy Breach
28-Jan-13,Noise Nuisance,LS8 5,2-572717803,LASBT Private
28-Jan-13,Noise Nuisance,LS18 4,2-572731504,LASBT Private
28-Jan-13,Noise Nuisance,LS6 2,2-572618550,LASBT Private
28-Jan-13,Noise Nuisance,LS6 1,2-572715938,LASBT Private
28-Jan-13,Noise Nuisance,LS19 7,2-572716036,LASBT Private
29-Jan-13,Noise Nuisance,LS2 9,2-572771698,LASBT Private
29-Jan-13,Noise Nuisance, WF4 3,2-572731080,LASBT ALMO
29-Jan-13,Noise Nuisance,LS11 5,2-572743931,Tenancy Breach
29-Jan-13,Noise Nuisance,LS12 5,2-572778927,LASBT ALMO
29-Jan-13,Noise Nuisance,LS3 1,2-572779325,LASBT Private
29-Jan-13,Noise Nuisance,LS1 3,2-572807621,LASBT Private
29-Jan-13,Noise Nuisance,LS28 7,2-572786372,LASBT ALMO
29-Jan-13,Noise Nuisance,LS11 5,2-572771425,Tenancy Breach
29-Jan-13,Noise Nuisance,LS14 5,2-572826846,Tenancy Breach
29-Jan-13,Noise Nuisance,LS9 7,2-572828928,LASBT ALMO
29-Jan-13,Noise Nuisance,LS7 1,2-572930752,LASBT ALMO
29-Jan-13,Noise Nuisance,LS20 9,2-572934211,Tenancy Breach
29-Jan-13,Noise Nuisance,LS27 8,2-572938736,LASBT Private
29-Jan-13,Noise Nuisance,LS26 0,2-572938902,LASBT ALMO
29-Jan-13,Noise Nuisance,LS9 7,2-572926116,LASBT ALMO
29-Jan-13,Noise Nuisance,LS10 3,2-572939131,LASBT ALMO
29-Jan-13,Noise Nuisance,LS14 5,2-573150690,LASBT Private
29-Jan-13,Noise Nuisance,LS10 4,2-573150785,LASBT Private
29-Jan-13,Noise Nuisance,LS10 4,2-573161501,LASBT ALMO
30-Jan-13,Noise Nuisance,LS28 8,2-573205073,Tenancy Breach
30-Jan-13,Noise Nuisance,LS13 2,2-573190538,LASBT Private
30-Jan-13,Noise Nuisance,LS27 8,2-573226570,LASBT Private
30-Jan-13,Noise Nuisance,LS11 5,2-573224109,LASBT ALMO
30-Jan-13,Noise Nuisance,LS11 5,2-573245167,Tenancy Breach
30-Jan-13,Noise Nuisance,WF10 2,2-573247392,LASBT Private
30-Jan-13,Noise Nuisance,LS15 7,2-573260144,LASBT ALMO
30-Jan-13,Noise Nuisance,LS9 6,2-573294504,LASBT Private
30-Jan-13,Noise Nuisance,LS10 4,2-573367716,LASBT Private
30-Jan-13,Noise Nuisance,LS7 4,2-573368946,LASBT ALMO
30-Jan-13,Noise Nuisance,LS7 1,2-573435967,LASBT ALMO
30-Jan-13,Noise Nuisance,LS28 7,2-573422100,LASBT Private
30-Jan-13,Noise Nuisance,LS6 1,2-573460684,LASBT Private
30-Jan-13,Noise Nuisance,LS4 2,2-573461249,LASBT Private
31-Jan-13,Noise Nuisance,LS27 7,2-573601962,LASBT Private
31-Jan-13,Noise Nuisance,LS19 6,2-573614669,LASBT ALMO
31-Jan-13,Noise Nuisance,LS7 1,2-573751938,LASBT ALMO
31-Jan-13,Noise Nuisance,LS6 3,2-573758113,Tenancy Breach
31-Jan-13,Noise Nuisance,LS28 5,2-573774779,LASBT Private
31-Jan-13,Noise Nuisance,LS6 2,2-573788976,LASBT Private
